56.2698 	EXP 	fixation: autoDraw = True
57.2584 	EXP 	text: autoDraw = True
57.2705 	EXP 	fixation: autoDraw = False
57.6269 	EXP 	New trial (rep=2, index=0): {'reward_today': 134, 'future_reward': 200, 'delay': 207}
57.6352 	DATA 	Keypress: t
57.6479 	EXP 	fixation: autoDraw = False
57.6479 	EXP 	text: autoDraw = False
57.6479 	EXP 	text: height = 0.05
57.6479 	EXP 	text: height = 0.05
57.6479 	EXP 	text: height = 0.05
57.6479 	EXP 	text: text = 'GBP 134 today or GBP 200 after 207 days'
57.6479 	EXP 	fixation: autoDraw = True
58.6251 	EXP 	text: autoDraw = True
58.6475 	EXP 	fixation: autoDraw = False
58.9615 	EXP 	New trial (rep=2, index=1): {'reward_today': 78, 'future_reward': 80, 'delay': 162}
58.9694 	DATA 	Keypress: l
58.9805 	EXP 	fixation: autoDraw = False
58.9805 	EXP 	text: autoDraw = False
58.9805 	EXP 	text: height = 0.05
58.9805 	EXP 	text: height = 0.05
58.9805 	EXP 	text: height = 0.05
58.9805 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
58.9805 	EXP 	fixation: autoDraw = True
59.9697 	EXP 	text: autoDraw = True
59.9808 	EXP 	fixation: autoDraw = False
60.2166 	EXP 	New trial (rep=2, index=2): {'reward_today': 49, 'future_reward': 60, 'delay': 89}
60.2246 	DATA 	Keypress: t
60.2369 	EXP 	fixation: autoDraw = False
60.2369 	EXP 	text: autoDraw = False
60.2369 	EXP 	text: height = 0.05
60.2369 	EXP 	text: height = 0.05
60.2369 	EXP 	text: height = 0.05
60.2369 	EXP 	text: text = 'GBP 49 today or GBP 60 after 89 days'
60.2369 	EXP 	fixation: autoDraw = True
61.2257 	EXP 	text: autoDraw = True
61.2360 	EXP 	fixation: autoDraw = False
61.4713 	EXP 	New trial (rep=2, index=3): {'reward_today': 67, 'future_reward': 75, 'delay': 119}
61.4789 	DATA 	Keypress: l
61.4917 	EXP 	fixation: autoDraw = False
61.4917 	EXP 	text: autoDraw = False
61.4917 	EXP 	text: height = 0.05
61.4917 	EXP 	text: height = 0.05
61.4917 	EXP 	text: height = 0.05
61.4917 	EXP 	text: text = 'GBP 67 today or GBP 75 after 119 days'
61.4917 	EXP 	fixation: autoDraw = True
62.4691 	EXP 	text: autoDraw = True
62.4921 	EXP 	fixation: autoDraw = False
62.8379 	EXP 	New trial (rep=2, index=4): {'reward_today': 15, 'future_reward': 35, 'delay': 13}
62.8450 	DATA 	Keypress: t
62.8503 	EXP 	fixation: autoDraw = False
62.8503 	EXP 	text: autoDraw = False
62.8503 	EXP 	text: height = 0.05
62.8503 	EXP 	text: height = 0.05
62.8503 	EXP 	text: height = 0.05
62.8503 	EXP 	text: text = 'GBP 15 today or GBP 35 after 13 days'
62.8503 	EXP 	fixation: autoDraw = True
63.8401 	EXP 	text: autoDraw = True
63.8513 	EXP 	fixation: autoDraw = False
64.0863 	EXP 	New trial (rep=2, index=5): {'reward_today': 100, 'future_reward': 150, 'delay': 176}
64.0941 	DATA 	Keypress: l
64.1026 	EXP 	fixation: autoDraw = False
64.1026 	EXP 	text: autoDraw = False
64.1026 	EXP 	text: height = 0.05
64.1026 	EXP 	text: height = 0.05
64.1026 	EXP 	text: height = 0.05
64.1026 	EXP 	text: text = 'GBP 100 today or GBP 150 after 176 days'
64.1026 	EXP 	fixation: autoDraw = True
65.0918 	EXP 	text: autoDraw = True
65.1030 	EXP 	fixation: autoDraw = False
65.4167 	EXP 	New trial (rep=2, index=6): {'reward_today': 27, 'future_reward': 50, 'delay': 21}
65.4251 	DATA 	Keypress: t
65.4362 	EXP 	fixation: autoDraw = False
65.4362 	EXP 	text: autoDraw = False
65.4362 	EXP 	text: height = 0.05
65.4362 	EXP 	text: height = 0.05
65.4362 	EXP 	text: height = 0.05
65.4362 	EXP 	text: text = 'GBP 27 today or GBP 50 after 21 days'
65.4362 	EXP 	fixation: autoDraw = True
66.4250 	EXP 	text: autoDraw = True
66.4363 	EXP 	fixation: autoDraw = False
66.6616 	DATA 	Keypress: l
